#{"t_start": 1646931469.33514, "env_id": "pong-normal-v0"}
r,l,t
-4000,1343,0.626383
-4000,349,0.735178
-4000,475,0.888515
-4000,157,0.937241
-3500,306,1.070688
-3500,864,1.340837
3000,898,1.616365
-3000,1200,1.98622
-4000,1358,2.503789
-3500,339,2.608864
-4000,342,2.714202
-4000,443,2.852763
-4000,432,3.026401
3000,672,3.238901
-4000,489,3.390066
-3500,702,3.61824
-3000,1539,4.134004
-3000,779,4.380509
-4000,497,4.539042
-3500,1623,5.08051
-4000,596,5.298109
-4000,844,5.579837
-4000,1026,5.899063
-4000,252,5.977242
-4000,543,6.181845
-4000,618,6.372161
-3500,584,6.551352
-4000,728,6.774184
-3500,493,7.08277
-4000,312,7.254658
-4000,861,7.750328
-4000,573,8.085958
-3000,423,8.328558
-4000,311,8.492534
-4000,330,8.675698
-3500,433,8.91179
-4000,270,9.057662
-4000,682,9.425966
-4000,389,9.637233
-4000,232,9.765107
-4000,450,10.008813
-4000,206,10.118326
-3500,336,10.29921
-4000,485,10.560944
-4000,522,10.844504
-3500,419,11.066718
-4000,557,11.366035
-4000,479,11.624386
-4000,549,11.926835
-3500,851,12.381533
-3000,2567,13.774677
-4000,336,13.967555
-4000,941,14.474638
