#{"t_start": 1646941212.935652, "env_id": "pong-normal-v0"}
r,l,t
-4000,451,2.222375
-4000,626,5.943112
-3500,608,8.209137
-4000,465,9.770054
-4000,248,10.489922
-4000,611,12.300927
-4000,356,13.285486
-3500,748,15.490721
-3500,415,16.668343
-3500,355,17.559863
-4000,398,18.58622
-4000,593,20.158957
-4000,511,21.468758
-4000,585,22.971091
2500,1085,25.850308
-3500,391,26.813294
-4000,797,28.888813
-3500,595,30.390993
-4000,286,31.143352
-3500,671,32.91202
-3500,716,34.734966
-4000,438,35.866632
-3500,435,37.015488
-4000,604,39.149111
-3500,543,40.560169
-4000,418,41.613627
-4000,451,42.830364
-4000,611,44.736672
-3500,1710,50.582694
-4000,693,52.610457
-4000,269,53.454785
-4000,347,54.465798
-4000,424,56.711169
-4000,510,60.108882
-4000,552,63.283017
-3500,600,68.25842
-4000,266,70.289779
-4000,452,74.46924
-3000,770,78.787864
-4000,344,79.859642
-3000,666,82.284695
-4000,889,85.944169
-4000,404,88.053
-3500,373,89.127257
-4000,653,91.002649
-4000,552,92.644922
-4000,551,94.311266
-3000,418,95.487254
-4000,544,97.401849
-4000,537,98.983527
-4000,413,100.141117
-4000,214,100.826717
-4000,312,101.683141
-4000,564,103.274848
-4000,695,105.197862
-4000,313,106.089096
-4000,1066,108.956783
-4000,606,110.582554
-2500,939,113.183626
-4000,463,114.4316
-4000,612,116.097023
-4000,555,117.624118
-4000,527,119.043963
-3500,440,120.344901
-4000,442,121.571829
-4000,501,123.091086
3000,745,125.303263
-4000,467,126.69177
-4000,508,128.164834
-3500,760,130.847412
-3000,1100,134.066779
-4000,204,134.679815
-4000,288,135.526332
-4000,371,136.612892
-4000,942,139.171405
-3000,608,140.803394
-3500,558,142.365038
-4000,249,143.078379
-3500,586,144.745761
-4000,299,145.526541
-4000,723,147.637631
-4000,424,148.887025
-3000,724,150.989868
-4000,238,151.680632
-3500,1109,154.930301
-4000,339,155.917332
-3500,849,158.450444
-4000,662,160.369312
-3500,327,161.377254
-4000,702,163.473065
-4000,341,164.52148
-3000,1636,169.459919
-4000,385,170.650436
-4000,457,172.09941
-3500,1900,177.760838
-4000,443,179.044793
-3000,424,180.259162
-4000,201,180.818303
-3000,845,183.412774
-3000,1130,186.697108
-4000,690,188.756064
-4000,529,190.309163
-4000,180,190.936096
-3500,569,192.60216
-3500,532,194.186494
-4000,628,195.981844
-4000,1539,200.611663
-4000,404,202.070689
-3500,691,204.41545
-4000,1037,208.172479
-3500,389,209.347957
-4000,707,211.829416
-3500,526,213.480464
-4000,415,214.759531
-3500,488,216.276168
-3000,490,217.824112
-4000,857,220.442702
-3500,867,223.212353
-4000,436,224.607501
-4000,463,226.085611
-4000,1103,229.618411
-3500,364,230.828851
-3500,307,231.753336
-4000,396,232.973542
-4000,346,234.020858
-3000,531,235.568147
-4000,356,236.600351
-4000,815,239.01047
-4000,317,239.981682
-4000,184,240.503421
-4000,262,241.316296
-4000,153,241.717931
-4000,257,242.588235
-4000,789,244.835939
-4000,2177,251.721663
-3500,371,252.864521
-4000,604,254.863685
-3500,588,256.728276
-3500,782,259.271834
-4000,471,260.76882
-4000,266,261.633786
-4000,541,263.43387
-3500,316,264.399389
-3000,967,267.417423
-4000,425,268.762408
-4000,476,270.264239
-2500,375,271.425742
-3500,437,272.713243
-4000,797,274.983915
-3500,2873,284.459613
-4000,335,285.567649
-3500,451,286.973536
-3500,844,289.582618
-3000,900,292.527246
-2500,1676,297.790632
-4000,290,298.673702
-4000,421,300.171043
-4000,280,301.062095
-4000,265,301.915077
-3500,1562,306.811904
-4000,668,308.973888
-4000,439,310.343246
-4000,722,312.652633
-4000,405,313.915312
-3500,436,315.460128
-3500,903,318.234267
-3500,562,320.915807
-4000,405,321.539691
-4000,416,322.123103
-3500,355,322.605845
-3500,743,323.723611
-3500,629,324.589902
-3500,314,324.991328
-4000,556,325.711175
-4000,255,326.034423
-3500,1047,327.365
-4000,474,327.972477
-4000,318,328.379287
-3000,698,329.269189
-3500,674,330.136352
-4000,435,330.689171
-3500,578,331.415071
-4000,608,332.177798
-4000,266,332.510451
-3500,548,333.220177
-3500,678,334.064727
-4000,493,334.68642
-4000,888,335.783122
-3500,518,336.411926
-3500,341,336.815554
-4000,243,337.100147
