#{"t_start": 1646940867.209713, "env_id": "pong-normal-v0"}
r,l,t
-4000,1068,1.757124
-4000,484,2.586363
-4000,481,3.622954
-3500,743,5.953804
-4000,551,6.511936
-4000,319,6.927494
-3500,569,9.202435
-4000,447,9.6682
-3000,975,10.557354
-3000,1714,14.347964
-3500,1310,17.286167
-4000,738,17.951924
-4000,869,20.091345
-3500,2551,25.044994
-2500,2756,30.429461
-3000,1954,34.65212
-3000,1366,38.799332
3500,2244,43.017361
-4000,1628,45.862752
-3000,1879,48.932155
-2500,2613,52.639193
-2500,2046,55.847197
-3000,1109,56.806537
-2500,4306,63.740859
2500,1787,67.573636
2500,2464,74.357557
-3000,3244,82.034582
3500,1253,85.355476
3500,1523,88.041245
-3500,2012,93.889646
2500,2790,105.404815
-4000,1806,111.195098
3500,3728,118.954346
-4000,4830,127.256265
3500,6855,139.579811
-2500,4554,147.77993
3500,2493,154.338819
3500,773,155.212481
4000,565,155.85658
3000,3434,163.145776
3500,6464,175.627712
3500,1224,178.720484
4000,2273,183.01791
4000,4802,192.237101
4000,5372,203.631212
4000,2800,214.154123
4000,5745,225.262419
4000,2010,228.527249
4000,3863,235.377733
4000,2820,240.62959
4000,1472,244.940704
4000,3519,250.509826
4000,6036,262.747617
4000,1942,266.296337
4000,2234,270.238634
4000,4807,276.086617
4000,7172,290.827137
4000,3148,294.780481
4000,3577,298.740261
4000,7061,306.03993
4000,3928,309.810702
4000,3776,313.4067
4000,2027,315.33556
4000,4040,319.176038
4000,3525,322.531841
4000,6517,329.156679
4000,3429,332.652914
4000,3511,336.304374
4000,2653,342.239846
4000,1884,345.203189
